Nom,Pays,Description,Lien
"""Walid Bouchouchi""","""Algérie""","""Walid Bouchouchi est né à Alger en 1989 et ce n’est pas par hasard qu’il s’est retrouvé un jour dans le domaine artistique. Son bac en poche et la passion entre les mains, il entre à l’Ecole des Beaux-arts d’Alger où sa curiosité le mène vers l’image et son impact sur la société. Il en sort quelques années plus tard avec non seulement un diplôme, mais surtout une vision de l’art. Il se définit comme un communicant visuel. « C’est du commun que je m’inspire, plus les repères sont communs plus le sens est fort ».

Fondateur du studio AKAKIR qui prend ses sources dans le détournement d’images iconographiques, il se fait connaître à travers plusieurs illustrations"""," ""https://www.artforness.com/walid-bouchouchi/"""
"""Dzart16""","""Algérie""","""Né dans une famille d’artistes à la fin des années 80, le jeune D’zart trouva rapidement refuge dans les formes qui lui servirent d’uniforme pour combattre les méchants et les mutants peuplant son imaginaire d’enfant …

Enfin dehors, D’zart fut exposé au système scolaire où il observa l’univers qui lui promit déjà de belles galères. Après quelques années dans le fondamental, D’zart rejoint les beaux-Zart où il exprima enfin son art ! Cette expérience lui donna le moyen de regarder plus loin et de choisir son propre chemin. Un chemin qu’il parcourut durant 10 années avant de se retrouver lui-même … Maintenant il propage des étoiles à travers ses toiles en exprimant SA vison de la société algérienne."""," ""https://www.artforness.com/dzart16"""
"""Sonia Ben salem""","""Tunisie""","""Diplômée de l’école supérieure de design et des arts graphiques de Tunis, Sonia intégra rapidement le studio d’illustration « Atelier Glibett ». Ce dernier a su être pour notre artiste l’occasion de nombreuses expériences et rencontres essentielles. Ce qui lui a permis d’évoluer dans le métier d’illustrations et trouver rapidement sa place.

Sonia aime apporter transmettre son attachement au patrimoine à travers des projets artistiques, en dessinant avec humour des scènes typiquement tunisienne."""," ""https://www.artforness.com/sonia-ben-salem"""
"""Noha Habaieb""","""Tunisie""","""Noha Habaieb est née à Paris en 1983, elle grandit en Tunisie jusqu’à l’âge de 23 ans, elle étudie le graphisme à Sfax avant de continuer dans la bande dessinée à l’école Saint Luc Liège.

Elle fait partie des fondateurs du LAB619, magazine de bande dessinée tunisien, lancé en 2013. Elle coorganise et participe à des résidences artistiques autour de la migration, l’identité et les frontières.

Noha Habaieb est co-fondatrice de l’Atelier Glibett, studio spécialisé en Illustration et bande dessinée, travaille actuellement entre Tunis et Doha."""," ""https://www.artforness.com/noha-habaieb/"""
"""Ayoub Normal""","""Tunisie""","""Jeune artiste nord-africain né en 1990, Normal a très vite forgé sa place sur la scène marocaine de l’illustration et du street art. Que ce soit sur des murs, des affiches, de la bd ou bien des animations, son approche est toujours introspective, révélant des univers oniriques et parfois sinistres.

Il a signé différentes façades murales ainsi que plusieurs affiches de festivals internationaux de musique tel que l’Boulevard, festival de musiques actuels ou bien le festival Gnaoua et musiques du monde."""," ""https://www.artforness.com/ayoub-normal"""
"""Zeineb Ben Haouala""","""Tunisie""","""Zeineb est une illustratrice Tuniso-Suisse née à Lausanne en 1982. Son Diplôme de Designer graphique en poche, elle fait son entrée dans l’univers des agences de communication en 2007 où elle travaille en tant que graphiste puis directrice artistique d’un groupe international. Elle co-fonde, en 2017, un studio d’illustration basé à Tunis et se consacre désormais à sa passion. Zeineb explore les styles et illustre, tout en couleurs, l’identité culturelle tunisienne"""," ""https://www.artforness.com/zeineb-ben-haouala"""
"""Seif Eddine Nechi""","""Tunisie""","""Seif Eddine Nechi est né à Tunis en 1974. Avec sa BD Tawahoch, il gagne un premier prix au Cairocomix 2. En 2017, son « Bombyx Mori » avec Aymen Mbarek, a obtenu le prix du meilleur Roman graphique électronique au Cairocomix 3 ainsi qu’au Mahmoud Kahil Awards.

En 2018 ses œuvres sont exposées à Angoulême dans le cadre de l’exposition « Nouvelle Génération de la bande dessinée Arabe ». Il est également cofondateur du Blog BD Soubia."""," ""https://www.artforness.com/seif-eddine-nechi/"""
"""Mahmoud Benamar""","""Algérie""","""Mahmoud est né en 1987 en Algérie, une fois son diplôme des Beaux-Arts d’Alger en poche, il intègre une entreprise de communication. Sa passion de jeunesse pour les jeux vidéo et le cinéma a nourri son imaginaire et lui a fourni l’inspiration qui anime aujourd’hui son travail.

En 2011, il participe à l’album collectif Monstres (éd. Dalimen) et en 2012 publie seul Broderies pour un hold-up (éd. Dalimen). En 2013, il signe avec Safia et Soumeya Ouarezki, Les souvenirs de Fatma, un album retraçant l’histoire d’amour entre une jeune algérienne de la Casbah et un soldat américain à la fin de la seconde guerre mondiale.

À partir de cette brève histoire, naîtra le sublime Fatma N’Parapluie, qui obtient le prix du meilleur album en langue nationale au FIBDA en 2014.
Actuellement, il travaille pour Nuked Cockroach Studios comme artiste et concepteur du jeu vidéo « Veterans »."""," ""https://www.artforness.com/mahmoud-benamar/"""
"""Vajo""","""Tunisie""","""Jawher Soudani alias Vajo, street artist et graphic designer, né le 16 janvier 1989 à Gabès, Tunisie.

Il a travaillé sur une panoplie d’expositions collectives, de performances au niveau national qu’international, c’est aussi l’un des créateurs de la marque de Vêtements “Lablabi Store” et l’acteur principale du film “ The last of us “. Au travers de ses multiples activités, il a pu pratiquer et améliorer des techniques tel que : aérosol, peinture collage, etc. et aborder différents secteurs d’activité : street-art, mode, art visuel.

Cet hétéroclite a sillonné le monde au travers de ses participations à des programmes d’échange à vocation culturelle : Sénégal (Festi Graff) en 2012, Jordanie (Rise up international) en 2013, États Unis (Rise up International ) en 2013, France ( Graffiti Tounsi ) en 2014 et Danmark (SMUKIFICERING) en 2015."""," ""https://www.artforness.com/vajo"""
"""Lena Merhej""","""Liban""","""Léna Merhej est née en 1977 à Beyrouth. Conteuse visuelle, elle a fait des études d’art et de graphisme et a enseigné l’illustration et l’animation dans plusieurs universités de Beyrouth. Elle a également fondé à Beyrouth le Story Center, institut qui offre une formation professionnelle en animation, illustration et bande dessinée.

Illustratrice de plus de vingt-cinq albums pour enfants, Lena fait partie de l’équipe fondatrice de Samandal. Ses albums BD « Kamen sine » (Une autre année, 2009) et

« Laban et confiture », ont reçu le prix du meilleur album au Festival international de la bande dessinée d’Alger en 2009 et en 2013."""," ""https://www.artforness.com/lena-merhej/"""
