french,english,
alors,a,
au,able,
aucuns,about,
aussi,above,
autre,abst,
avant,accordance,
avec,according,
avoir,accordingly,
bon,across,
car,act,
ce,actually,
cela,added,
ces,adj,
ceux,affected,
chaque,affecting,
ci,affects,
comme,after,
comment,afterwards,
dans,again,
des,against,
du,ah,
dedans,all,
dehors,almost,
depuis,alone,
devrait,along,
doit,already,
donc,also,
dos,although,
début,always,
elle,am,
elles,among,
en,amongst,
encore,an,
essai,and,
est,announce,
et,another,
eu,any,
fait,anybody,
faites,anyhow,
fois,anymore,
font,anyone,
hors,anything,
ici,anyway,
il,anyways,
ils,anywhere,
"je	juste",apparently,
la,approximately,
le,are,
les,aren,
leur,arent,
là,arise,
ma,around,
maintenant,as,
mais,aside,
mes,ask,
mine,asking,
moins,at,
mon,auth,
mot,available,
même,away,
ni,awfully,
nommés,b,
notre,back,
nous,be,
ou,became,
où,because,
par,become,
parce,becomes,
pas,becoming,
peut,been,
peu,before,
plupart,beforehand,
pour,begin,
pourquoi,beginning,
quand,beginnings,
que,begins,
quel,behind,
quelle,being,
quelles,believe,
quels,below,
qui,beside,
sa,besides,
sans,between,
ses,beyond,
seulement,biol,
si,both,
sien,brief,
son,briefly,
sont,but,
sous,by,
"soyez	sujet",c,
sur,ca,
ta,came,
tandis,can,
tellement,cannot,
tels,can't,
tes,cause,
ton,causes,
tous,certain,
tout,certainly,
trop,co,
très,com,
tu,come,
voient,comes,
vont,contain,
votre,containing,
vous,contains,
vu,could,
ça,couldnt,
étaient,d,
état,date,
étions,did,
été,didn't,
être,different,
je,do,
cherche-moi,does,
recherche,doesn't,
cherche,doing,
chercher,done,
peux-tu,don't,
trouve-moi,down,
trouver,downwards,
trouve,due,
comment,during,
est-ce,e,
m'aider,each,
sais-tu,ed,
pourrais-tu,edu,
ok,effect,
s'il te plait,eg,
stp,eight,
merci,eighty,
m',either,
t',else,
de,elsewhere,
suis,end,
es,ending,
est,enough,
moi,especially,
toi,et,
enculé,et-al,
,etc,
,even,
,ever,
,every,
,everybody,
,everyone,
,everything,
,everywhere,
,ex,
,except,
,f,
,far,
,few,
,ff,
,fifth,
,first,
,five,
,fix,
,followed,
,following,
,follows,
,for,
,former,
,formerly,
,forth,
,found,
,four,
,from,
,further,
,furthermore,
,g,
,gave,
,get,
,gets,
,getting,
,give,
,given,
,gives,
,giving,
,go,
,goes,
,gone,
,got,
,gotten,
,h,
,had,
,happens,
,hardly,
,has,
,hasn't,
,have,
,haven't,
,having,
,he,
,hed,
,hence,
,her,
,here,
,hereafter,
,hereby,
,herein,
,heres,
,hereupon,
,hers,
,herself,
,hes,
,hi,
,hid,
,him,
,himself,
,his,
,hither,
,home,
,how,
,howbeit,
,however,
,hundred,
,i,
,id,
,ie,
,if,
,i'll,
,im,
,immediate,
,immediately,
,importance,
,important,
,in,
,inc,
,indeed,
,index,
,information,
,instead,
,into,
,invention,
,inward,
,is,
,isn't,
,it,
,itd,
,it'll,
,its,
,itself,
,i've,
,j,
,just,
,k,
,keep,
,keeps,
,kept,
,kg,
,km,
,know,
,known,
,knows,
,l,
,largely,
,last,
,lately,
,later,
,latter,
,latterly,
,least,
,less,
,lest,
,let,
,lets,
,like,
,liked,
,likely,
,line,
,little,
,'ll,
,look,
,looking,
,looks,
,ltd,
,m,
,made,
,mainly,
,make,
,makes,
,many,
,may,
,maybe,
,me,
,mean,
,means,
,meantime,
,meanwhile,
,merely,
,mg,
,might,
,million,
,miss,
,ml,
,more,
,moreover,
,most,
,mostly,
,mr,
,mrs,
,much,
,mug,
,must,
,my,
,myself,
,n,
,na,
,name,
,namely,
,nay,
,nd,
,near,
,nearly,
,necessarily,
,necessary,
,need,
,needs,
,neither,
,never,
,nevertheless,
,new,
,next,
,nine,
,ninety,
,no,
,nobody,
,non,
,none,
,nonetheless,
,noone,
,nor,
,normally,
,nos,
,not,
,noted,
,nothing,
,now,
,nowhere,
,o,
,obtain,
,obtained,
,obviously,
,of,
,off,
,often,
,oh,
,ok,
,okay,
,old,
,omitted,
,on,
,once,
,one,
,ones,
,only,
,onto,
,or,
,ord,
,other,
,others,
,otherwise,
,ought,
,our,
,ours,
,ourselves,
,out,
,outside,
,over,
,overall,
,owing,
,own,
,p,
,page,
,pages,
,part,
,particular,
,particularly,
,past,
,per,
,perhaps,
,placed,
,please,
,plus,
,poorly,
,possible,
,possibly,
,potentially,
,pp,
,predominantly,
,present,
,previously,
,primarily,
,probably,
,promptly,
,proud,
,provides,
,put,
,q,
,que,
,quickly,
,quite,
,qv,
,r,
,ran,
,rather,
,rd,
,re,
,readily,
,really,
,recent,
,recently,
,ref,
,refs,
,regarding,
,regardless,
,regards,
,related,
,relatively,
,research,
,respectively,
,resulted,
,resulting,
,results,
,right,
,run,
,s,
,said,
,same,
,saw,
,say,
,saying,
,says,
,sec,
,section,
,see,
,seeing,
,seem,
,seemed,
,seeming,
,seems,
,seen,
,self,
,selves,
,sent,
,seven,
,several,
,shall,
,she,
,shed,
,she'll,
,shes,
,should,
,shouldn't,
,show,
,showed,
,shown,
,showns,
,shows,
,significant,
,significantly,
,similar,
,similarly,
,since,
,six,
,slightly,
,so,
,some,
,somebody,
,somehow,
,someone,
,somethan,
,something,
,sometime,
,sometimes,
,somewhat,
,somewhere,
,soon,
,sorry,
,specifically,
,specified,
,specify,
,specifying,
,still,
,stop,
,strongly,
,sub,
,substantially,
,successfully,
,such,
,sufficiently,
,suggest,
,sup,t
,sure,
,take,
,taken,
,taking,
,tell,
,tends,
,th,
,than,
,thank,
,thanks,
,thanx,
,that,
,that'll,
,thats,
,that've,
,the,
,their,
,theirs,
,them,
,themselves,
,then,
,thence,
,there,
,thereafter,
,thereby,
,thered,
,therefore,
,therein,
,there'll,
,thereof,
,therere,
,theres,
,thereto,
,thereupon,
,there've,
,these,
,they,
,theyd,
,they'll,
,theyre,
,they've,
,think,
,this,
,those,
,thou,
,though,
,thoughh,
,thousand,
,throug,
,through,
,throughout,
,thru,
,thus,
,til,
,tip,
,to,
,together,
,too,
,took,
,toward,
,towards,
,tried,
